Distance_(mm)	Gray_Value
37.0819	221.3867
37.1095	219.7750
37.1371	216.8003
37.1647	213.7622
37.1923	209.8884
37.2199	206.9193
37.2476	203.5014
37.2752	198.4047
37.3028	195.7906
37.3304	193.0751
37.3580	193.0030
37.3856	192.0509
37.4132	190.1271
37.4408	189.0761
37.4684	186.2662
37.4961	186.0000
37.5237	185.1454
37.5513	185.8982
37.5789	186.0000
37.6065	186.0000
37.6341	186.8357
37.6617	186.3135
37.6893	186.0012
37.7169	185.6932
37.7446	185.8656
37.7722	186.7728
37.7998	187.7602
37.8274	188.7476
37.8550	190.4700
37.8826	191.8340
37.9102	195.4351
37.9378	197.9634
37.9654	199.7785
37.9931	202.7699
38.0207	206.5191
38.0483	210.5421
38.0759	213.6732
38.1035	215.2324
38.1311	216.3944
38.1587	217.0000
38.1863	218.7516
38.2139	220.5592
38.2416	221.5587
38.2692	222.1897
38.2968	222.5072
38.3244	222.3195
38.3520	221.5799
